1150720154906651439_2165071529	video	https://instagram.fsgn5-4.fna.fbcdn.net/vp/0ebf67ee3b078f6040138b688659e7cb/5A26B7EC/t50.2886-16/11020577_1088138167884217_1373171326_n.mp4	Lỗi kĩ thuật ánh sáng. :3 không sao, giọng của nữ hoàng còn trong veo chán. :))
1140330823700441883_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/12338995_1640799752860811_1347342712_n.jpg?ig_cache_key=MTE0MDMzMDgyMzcwMDQ0MTg4Mw%3D%3D.2	Cuồng chụp nửa mặt. :3 :)
1139895918407444921_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/12298799_722792511189864_1846382525_n.jpg?ig_cache_key=MTEzOTg5NTkxODQwNzQ0NDkyMQ%3D%3D.2&se=7	Confused... #tựprchobảnthân #Trangkhôngthíchgạchđá #chỉlàxảstressthôi
1139865781586618971_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/12301285_1392102204422723_1183863986_n.jpg?ig_cache_key=MTEzOTg2NTc4MTU4NjYxODk3MQ%3D%3D.2	Không phải sách của bộ giáo dục...
1066406149346552017_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/11356941_1474893462813104_754946686_n.jpg?ig_cache_key=MTA2NjQwNjE0OTM0NjU1MjAxNw%3D%3D.2	Goodbye.  #Chess #Mylove
1455106361104750543_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/16908624_708613185967318_5551483046714146816_n.jpg?ig_cache_key=MTQ1NTEwNjM2MTEwNDc1MDU0Mw%3D%3D.2	Hayya. Đ biết phải ns gì. Hị hị. Đi ngủ đây ng chị em. Sang tủi mứi già đi và ở sạch hơn, đừng để mụn xinh mọc ở lưng :v  So long! Hựa hựa.
1454405536392814822_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/16583210_1741587736170397_333684315692990464_n.jpg?ig_cache_key=MTQ1NDQwNTUzNjM5MjgxNDgyMg%3D%3D.2	Kí ức theo dòng chảy về, tự nhiên đến lạ! Nếu có ước muốn trong cuộc đời này, tôi sẽ ước muốn cho thời gian trở lại... #QuaDemNay #fortheJuneexam #unforgettabletime #hardworkingnight #niceandgreat #insta
1454396784507711897_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/16906145_188415028310775_2599681899689410560_n.jpg?ig_cache_key=MTQ1NDM5Njc4NDUwNzcxMTg5Nw%3D%3D.2&se=7	Leave the terrible day behind my backkkkkkkkk.... #LăngBaTrieu #Tetoldpic #memory #insta
1453723131847781617_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/16789023_619593481565016_4672956750561804288_n.jpg?ig_cache_key=MTQ1MzcyMzEzMTg0Nzc4MTYxNw%3D%3D.2	Ảnh đẹp thì phải post insta hị hị =)))) #Tamcamtheuntoldstory #sweetandtear #anemotionalnight #nostudynostress #joymentandpeace #insta
1428819832589815421_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/16110612_262284750852451_5791824640594673664_n.jpg?ig_cache_key=MTQyODgxOTgzMjU4OTgxNTQyMQ%3D%3D.2&se=7	Bỗng dưng cảm thấy bản thân thật tệ! Insta à, 1 hôm deep trước Tết nữa thôi nhé, lần cuối thôi! Hnay muốn nói về những ng tôi đã gặp, đã quen, đã thân... Tôi có quen 1 đứa con gái, 1 đứa bạn, cx được 5, 6 năm r nhỉ. Từ thời chúng tôi còn học lớp 5, mỗi lần bị bắt nạt là tôi đều gọi nó ra. Và lấy cái lí do ấu trĩ, mình cùng học trường 1 vs nhau, phải bảo vệ nhau, thế là tôi chẳng bị đứa nào đụng vào, chẳng bị đứa nào trêu ghẹo. 3 năm sau, tôi vs nó gặp lại, chúng tôi chat vs nhau trên fb, rồi nó hay lên tôi chơi. Nhưng tôi ít khi xuống. Không vì ngại cx vì gia đình k cho phép. Nhà tôi buôn bán mà, có khi nào rảnh đâu. =)))) k cần biết lí do là gì, tôi vẫn thấy có lỗi, có cái gì đó day dứt. Tại sao nhỉ? Rồi chúng tôi lên lớp 9, chúng tôi cùng nhau thi tỉnh, tôi pass, nó fail, nó k khóc, mà tôi cx k biết nó có khóc k nữa, vì tôi đâu ở bên nó. Có cái gì đó hơi buồn! Nhưng rồi cái gì đến cx đến, toi đi ôn thi, nó ở nhà, chúng tôi cx ít liên lạc vs nhau đi. Tôi thi xong. Rồi mùa hè năm ấy, chúng tôi ôn thi cấp 3. Nắng gắt! Nắng bỏng! Tôi cắm đầu ôn thi mà dần cắt đứt liên lạc vs nó. Ngày thi csp, nó đậu, tôi trượt, nhưng cả nó và tôi đều khóc. Vì nó k đc học vì bố mẹ k cho phép. Lần đầu tiên tôi thấy nó khóc! Nếu có ai hỏi ng làm bạn bối rối nhất mà chẳng thrẻ an ủi lấy  1lời khi ng ta deep, chỉ có thể ngồi nghe họ nói? Tôi sẽ trả lời ngay, là nó. Nó là thể loại unpredictable nhất mà tôi gặp. Những lúc tôi deep, ừ tất nhiên có nó ở bên. Nhưng những lúc nó deep, t chả biết ns gì cả, chỉ biết ngồi nghe nó ns, ngồi đọc những tin nhắn của nó. Tôi rất sợ, sợ có ns gì làm nó buồn hơn, sợ nó khóc nữa. Và vì thế, tôi chả dám ns gì khi nó deep. Tôi thật tệ! Những lúc tôi deep, nó, dù thế nào cx na chuyện vs tôi, cx ở bên tôi, làm toi cười, thế mà khi nó deep, tôi chẳng làm đc gì.  Nó là  1trong những đứa thân lâu vs tôi nhất, nhưng lại là đứa cãi nhau vs tôi nhiều nhất, khiến tôi sôi máu nhiều nhất, khiến tôi bối rối nhất và cx là đứa tôi có lỗi và mắc nợ nhiều nhất!  Bạn à, tao xin lỗi, thực sự xin lỗi m, t chả làm đc gì cho m cả. Nhưng t hứa ngày m lên xe hoa, ngày m sinh con, bằng bất kì giá nào, dù còn sống hay đã chết, t vẫn sẽ đến vs m!
1418178682610854631_2165071529	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/15803391_102855120220216_2994585893240569856_n.jpg?ig_cache_key=MTQxODE3ODY4MjYxMDg1NDYzMQ%3D%3D.2	Đó là Lam Sơn Hàn Thuyên, là tuổi thanh xuân tươi đẹp của tôi, là ước mơ khát khao cháy bỏng đầu tiên trong đời, là tất cả những hoài niệm tuổi trẻ, là tất cả niềm tin và hy vọng, là yêu, yêu đến tha thiết, là sống chết để được 1 phần của Lam Sơn, là nắng, nắng oi ả, nắng mệt nhoài, nắng của hi vọng, nắng vui, buồn và nắng đẹp! Là ước mơ mãi chẳng có cơ hội thành hiện thực, là viên kim cương lấp lánh ở rất gần nhưng tôi mãi không chạm vào được.... Màu hồng của LSHT là màu của kí ức... LSHT ở lại, 2016 ở lại, cái gì đến cũng phải đến. Lam Sơn mãi đẹp như cái tên của nó, yêu, thương, nhớ từ 1 quả bóng ước mơ nhỏ vùng vẫy trong gió, mãi k thể bay được. =)))) #LSHT #emyeuAnh #yeucaLSHT
