1566819521037510295_5782496141	carousel	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/20346955_751330915053332_5063145003165941760_n.jpg?ig_cache_key=MTU2NjgxOTI5ODk3NDEyOTg3OQ%3D%3D.2&se=7,https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/20347535_1980434228838277_840174218178985984_n.jpg?ig_cache_key=MTU2NjgxOTMxMTI3MTk2NDYzNg%3D%3D.2&se=7,https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/20225998_160401204508158_8182302729155117056_n.jpg?ig_cache_key=MTU2NjgxOTMyMTIyOTEzMTM4MA%3D%3D.2&se=7	Fl lại đii huhu :(((( #lfl#lflflflflflflflflflflflflflflflflflflflflflflflflflflflflflflflf #l4l
1650755047829869659_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/23594715_1877306158965792_3680930557723672576_n.jpg?ig_cache_key=MTY1MDc1NTA0NzgyOTg2OTY1OQ%3D%3D.2&se=7	@_qynhhchii_188 chi xinhh #lfl#l4l#vietnam#girl#chichang#loveu#likeforlike
1645684180498351136_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/23507123_140633063254039_4469246919863959552_n.jpg?ig_cache_key=MTY0NTY4NDE4MDQ5ODM1MTEzNg%3D%3D.2&se=7	Hello 💓 #lfl#l4l#vietnam#girl#cute#hello#luv#likeforlike#like4like#oh#love#instagram
1639986111240769341_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/23099415_432636073804702_711138041804095488_n.jpg?ig_cache_key=MTYzOTk4NjExMTI0MDc2OTM0MQ%3D%3D.2	Pleee #lfl#l4l#vietnam#vsco#vietnam#girl#loveu
1638553663722362229_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/22860840_490824387967851_6311662399493505024_n.jpg?ig_cache_key=MTYzODU1MzY2MzcyMjM2MjIyOQ%3D%3D.2&se=7	❤❤ #lfl#vsco#chang#tht#l4l#vietnam#cute#loveu
1637803904023809026_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/22858418_492869634445133_8583059861187592192_n.jpg?ig_cache_key=MTYzNzgwMzkwNDAyMzgwOTAyNg%3D%3D.2&se=7	💓 #lfl_fff_l4l_lforl_likeforlike_f4f_fforf_followforfollow#vsco#snapchat#ig#flme#vietnam#vscovietnam#l4l
1635623312712612132_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/22793744_123884828289734_1457601966279491584_n.jpg?ig_cache_key=MTYzNTYyMzMxMjcxMjYxMjEzMg%3D%3D.2&se=7	Han dua chup anh =)))) #lfl#l4l#vsco#picart#vietnam#swag#asia#ig#vietnampic#love#chang
1630431841508350646_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/22708686_1989594624611045_2010451479470538752_n.jpg?ig_cache_key=MTYzMDQzMTg0MTUwODM1MDY0Ng%3D%3D.2&se=7	Oh noo :))) #lfl#Vsco#swag#vietnam#vscovietnam#l4l#fl#love
1629623687660811792_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/22639462_120329328661900_2227864819938099200_n.jpg?ig_cache_key=MTYyOTYyMzY4NzY2MDgxMTc5Mg%3D%3D.2&se=7	#vsco#flme#fl#vietnam#b612
1628841864110389223_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/22581874_139687619993612_4965469398086189056_n.jpg?ig_cache_key=MTYyODg0MTg2NDExMDM4OTIyMw%3D%3D.2&se=7	Hoho  #lfl#luv#love#vsco#l4likeforlikesback💋#vietnam#chang
1626931425269109265_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/22581932_1420903804694952_7211328193964277760_n.jpg?ig_cache_key=MTYyNjkzMTQyNTI2OTEwOTI2NQ%3D%3D.2&se=7	Zuiii 😂 #lfl_fff_l4l_lforl_likeforlike_f4f_fforf_followforfollow#luv#rl#chang#snow#vietnam#cute#smile
1625498061748274453_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/22430289_137224583573199_179813672044986368_n.jpg?ig_cache_key=MTYyNTQ5ODA2MTc0ODI3NDQ1Mw%3D%3D.2&se=7	Iu em hong hoi ny oiii ❤❤❤ #snow#love#vietnam#cute#ulzanggirlkorea#loveu#chang
1625416386854808222_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/22582368_533686363641461_160002594226307072_n.jpg?ig_cache_key=MTYyNTQxNjM4Njg1NDgwODIyMg%3D%3D.2&se=7	#vscovietnam#vsco#love#lfl_fff_l4l_lforl_likeforlike_f4f_fforf_followforfollow#changgloveu
1621177756946957220_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/22280510_142173066401176_7451058949006032896_n.jpg?ig_cache_key=MTYyMTE3Nzc1Njk0Njk1NzIyMA%3D%3D.2&se=7	Iu honggg 💓💓 #lfl#vsco#picart#love#chang#tht#vscovietnam#peach#highlands
1616817533805167180_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/22071271_766122396925143_2053890138752155648_n.jpg?ig_cache_key=MTYxNjgxNzUzMzgwNTE2NzE4MA%3D%3D.2&se=7	❤❤ #vietnam#vscovietnam#lfl_fff_l4l_lforl_likeforlike_f4f_fforf_followforfollow#love#vsco
1595331632222799617_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/21294594_212862745914209_4595081189529747456_n.jpg?ig_cache_key=MTU5NTMzMTYzMjIyMjc5OTYxNw%3D%3D.2&se=7	#lfllflffllfllflflflfllffllflfllflflfllflflflfllffllflfflfllfllflfl#l4likeforlikesback💋#htx#love
1569316163942744831_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/20481948_112825555993532_7268673201436098560_n.jpg?ig_cache_key=MTU2OTMxNjE2Mzk0Mjc0NDgzMQ%3D%3D.2&se=7	Hehehehehhe #lfl#l4l#vietnam#changgg#love
1567227384704674735_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/20398140_137469193510068_6209740377428066304_n.jpg?ig_cache_key=MTU2NzIyNzM4NDcwNDY3NDczNQ%3D%3D.2	Fl me pls :)))) #lflflflflflflflflflflflflflflflflflflflflflflflflflflflflflflflf #l4likeforlikesback #vietnam
1566820257867704198_5782496141	image	https://instagram.fsgn5-4.fna.fbcdn.net/t51.2885-15/e35/20346898_1541549735865413_6110769113859096576_n.jpg?ig_cache_key=MTU2NjgyMDI1Nzg2NzcwNDE5OA%3D%3D.2&se=7	2lands :))) #lflflflflflflflflflflflflflflflflflflflflflflflflflflflflflflflf #vietnam #followforfollow
